"County","FIPS","Year","Occupation","Business Type","Measure Type","Variable","Value"
"Connecticut","09","2006-2010","All","Total","Number","Employment",1765549
"Connecticut","09","2006-2010","All","Total","Number","Margins of Error",5408
"Connecticut","09","2006-2010","All","Self-Employed, Incorporated","Percent","Employment",3.6
"Connecticut","09","2006-2010","All","Self-Employed, Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2006-2010","All","Self-Employed, Not Incorporated","Percent","Employment",6.9
"Connecticut","09","2006-2010","All","Self-Employed, Not Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2006-2010","All","Government","Percent","Employment",13.4
"Connecticut","09","2006-2010","All","Government","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","All","Private, Profit","Percent","Employment",66.9
"Connecticut","09","2006-2010","All","Private, Profit","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","All","Private, Not-for-profit","Percent","Employment",9.3
"Connecticut","09","2006-2010","All","Private, Not-for-profit","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","Management, business, science, and arts","Total","Number","Employment",705626
"Connecticut","09","2006-2010","Management, business, science, and arts","Total","Number","Margins of Error",6000
"Connecticut","09","2006-2010","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Employment",4.7
"Connecticut","09","2006-2010","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Employment",6.4
"Connecticut","09","2006-2010","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","Management, business, science, and arts","Government","Percent","Employment",19
"Connecticut","09","2006-2010","Management, business, science, and arts","Government","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Management, business, science, and arts","Private, Profit","Percent","Employment",55.7
"Connecticut","09","2006-2010","Management, business, science, and arts","Private, Profit","Percent","Margins of Error",0.5
"Connecticut","09","2006-2010","Management, business, science, and arts","Private, Not-for-profit","Percent","Employment",14.3
"Connecticut","09","2006-2010","Management, business, science, and arts","Private, Not-for-profit","Percent","Margins of Error",0.4
"Connecticut","09","2006-2010","Service","Total","Number","Employment",296576
"Connecticut","09","2006-2010","Service","Total","Number","Margins of Error",3948
"Connecticut","09","2006-2010","Service","Self-Employed, Incorporated","Percent","Employment",1.9
"Connecticut","09","2006-2010","Service","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","Service","Self-Employed, Not Incorporated","Percent","Employment",8.7
"Connecticut","09","2006-2010","Service","Self-Employed, Not Incorporated","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Service","Government","Percent","Employment",15.8
"Connecticut","09","2006-2010","Service","Government","Percent","Margins of Error",0.5
"Connecticut","09","2006-2010","Service","Private, Profit","Percent","Employment",64.7
"Connecticut","09","2006-2010","Service","Private, Profit","Percent","Margins of Error",0.7
"Connecticut","09","2006-2010","Service","Private, Not-for-profit","Percent","Employment",8.9
"Connecticut","09","2006-2010","Service","Private, Not-for-profit","Percent","Margins of Error",0.4
"Connecticut","09","2006-2010","Sales and office","Total","Number","Employment",442229
"Connecticut","09","2006-2010","Sales and office","Total","Number","Margins of Error",4515
"Connecticut","09","2006-2010","Sales and office","Self-Employed, Incorporated","Percent","Employment",3.1
"Connecticut","09","2006-2010","Sales and office","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","Sales and office","Self-Employed, Not Incorporated","Percent","Employment",4.6
"Connecticut","09","2006-2010","Sales and office","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","Sales and office","Government","Percent","Employment",8.7
"Connecticut","09","2006-2010","Sales and office","Government","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Sales and office","Private, Profit","Percent","Employment",77.4
"Connecticut","09","2006-2010","Sales and office","Private, Profit","Percent","Margins of Error",0.4
